Kategori,Subkategori,Deskripsi
Perangkat Keras,Kegagalan catu daya,Pengguna melaporkan kegagalan catu daya. Diperlukan investigasi lebih lanjut.
Keamanan,Kesalahan konfigurasi cloud,Pengguna melaporkan kesalahan konfigurasi cloud. Diperlukan investigasi lebih lanjut.
Akses,Daftar kontrol akses salah konfigurasi,Pengguna melaporkan daftar kontrol akses salah konfigurasi. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran HIPAA mencurigakan,Pengguna melaporkan pelanggaran hipaa mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pemanggilan layanan,Pengguna melaporkan aplikasi berhenti mendadak saat pemanggilan layanan. Diperlukan investigasi lebih lanjut.
Keamanan,Kompromi vendor mencurigakan,Pengguna melaporkan kompromi vendor mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Kerentanan yang belum ditambal,Pengguna melaporkan kerentanan yang belum ditambal. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh jendela pemeliharaan,Pengguna melaporkan akses ditolak oleh jendela pemeliharaan. Diperlukan investigasi lebih lanjut.
Keamanan,Eksfiltrasi data mencurigakan terdeteksi,Pengguna melaporkan eksfiltrasi data mencurigakan terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Kegagalan login dengan sertifikat,Pengguna melaporkan kegagalan login dengan sertifikat. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: OSPF salah konfigurasi,Pengguna melaporkan jaringan: ospf salah konfigurasi. Diperlukan investigasi lebih lanjut.
Akses,Batas waktu akses habis,Pengguna melaporkan batas waktu akses habis. Diperlukan investigasi lebih lanjut.
Keamanan,IP spoofing mencurigakan,Pengguna melaporkan ip spoofing mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran GDPR mencurigakan,Pengguna melaporkan pelanggaran gdpr mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kartu grafis terlalu panas,Pengguna melaporkan kartu grafis terlalu panas. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop memiliki piksel mati,Pengguna melaporkan layar laptop memiliki piksel mati. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Hard drive mengalami kerusakan,Pengguna melaporkan hard drive mengalami kerusakan. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas mencurigakan terdeteksi,Pengguna melaporkan aktivitas mencurigakan terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Hubung singkat motherboard laptop,Pengguna melaporkan hubung singkat motherboard laptop. Diperlukan investigasi lebih lanjut.
Keamanan,Instalasi driver mencurigakan,Pengguna melaporkan instalasi driver mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop retak,Pengguna melaporkan layar laptop retak. Diperlukan investigasi lebih lanjut.
Keamanan,Perangkat USB diblokir,Pengguna melaporkan perangkat usb diblokir. Diperlukan investigasi lebih lanjut.
Jaringan,Kekuatan sinyal lemah,Pengguna melaporkan kekuatan sinyal lemah. Diperlukan investigasi lebih lanjut.
Akses,Percobaan login tidak sah,Pengguna melaporkan percobaan login tidak sah. Diperlukan investigasi lebih lanjut.
Keamanan,Startup layanan mencurigakan,Pengguna melaporkan startup layanan mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Masalah rollback pembaruan,Pengguna melaporkan masalah rollback pembaruan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Laptop mati karena terlalu panas,Pengguna melaporkan laptop mati karena terlalu panas. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: server NTP tidak dapat dijangkau,Pengguna melaporkan jaringan: server ntp tidak dapat dijangkau. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: pelanggaran kepatuhan,Pengguna melaporkan jaringan: pelanggaran kepatuhan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kesalahan segmentasi,Pengguna melaporkan jaringan: kesalahan segmentasi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat memuat ekstensi,Pengguna melaporkan aplikasi berhenti mendadak saat memuat ekstensi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan autentikasi,Pengguna melaporkan kesalahan autentikasi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,IDE tidak dapat dibuka,Pengguna melaporkan ide tidak dapat dibuka. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: default gateway tidak tersedia,Pengguna melaporkan jaringan: default gateway tidak tersedia. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan NIST,Pengguna melaporkan akses ditolak oleh kebijakan nist. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak,Pengguna melaporkan aplikasi berhenti mendadak. Diperlukan investigasi lebih lanjut.
Keamanan,Basis data terekspos,Pengguna melaporkan basis data terekspos. Diperlukan investigasi lebih lanjut.
Akses,Persetujuan akses tertunda,Pengguna melaporkan persetujuan akses tertunda. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan gambar beku,Pengguna melaporkan layar laptop menampilkan gambar beku. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat menjalankan workflow,Pengguna melaporkan aplikasi berhenti mendadak saat menjalankan workflow. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pencadangan,Pengguna melaporkan aplikasi berhenti mendadak saat pencadangan. Diperlukan investigasi lebih lanjut.
Akses,Tiket Kerberos kedaluwarsa,Pengguna melaporkan tiket kerberos kedaluwarsa. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Docking station tidak dikenali,Pengguna melaporkan docking station tidak dikenali. Diperlukan investigasi lebih lanjut.
Keamanan,Injeksi paket mencurigakan,Pengguna melaporkan injeksi paket mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Monitor memiliki piksel mati,Pengguna melaporkan monitor memiliki piksel mati. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kepatuhan perangkat,Pengguna melaporkan akses ditolak oleh kepatuhan perangkat. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan vendor,Pengguna melaporkan akses ditolak oleh kebijakan vendor. Diperlukan investigasi lebih lanjut.
Keamanan,Backdoor mencurigakan terdeteksi,Pengguna melaporkan backdoor mencurigakan terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kesalahan BIOS,Pengguna melaporkan kesalahan bios. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Lisensi aplikasi kedaluwarsa,Pengguna melaporkan lisensi aplikasi kedaluwarsa. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop mengalami burn-in,Pengguna melaporkan layar laptop mengalami burn-in. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat membuat laporan,Pengguna melaporkan aplikasi berhenti mendadak saat membuat laporan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Touchpad tidak merespons,Pengguna melaporkan touchpad tidak merespons. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat visualisasi,Pengguna melaporkan aplikasi berhenti mendadak saat visualisasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Driver perangkat keras tidak ditemukan,Pengguna melaporkan driver perangkat keras tidak ditemukan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan BYOD,Pengguna melaporkan akses ditolak oleh kebijakan byod. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Pembaruan patch gagal,Pengguna melaporkan pembaruan patch gagal. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan token,Pengguna melaporkan akses ditolak oleh kebijakan token. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan DLP,Pengguna melaporkan akses ditolak oleh kebijakan dlp. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat boot VM,Pengguna melaporkan aplikasi berhenti mendadak saat boot vm. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas kernel mencurigakan,Pengguna melaporkan aktivitas kernel mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Koneksi nirkabel tidak stabil,Pengguna melaporkan koneksi nirkabel tidak stabil. Diperlukan investigasi lebih lanjut.
Akses,Akun email dinonaktifkan,Pengguna melaporkan akun email dinonaktifkan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan geolokasi,Pengguna melaporkan akses ditolak oleh kebijakan geolokasi. Diperlukan investigasi lebih lanjut.
Akses,Pencabutan akses tertunda,Pengguna melaporkan pencabutan akses tertunda. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan MFA,Pengguna melaporkan akses ditolak oleh kebijakan mfa. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat menghubungkan,Pengguna melaporkan aplikasi berhenti mendadak saat menghubungkan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop lampu latar gagal berfungsi,Pengguna melaporkan layar laptop lampu latar gagal berfungsi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan deployment container,Pengguna melaporkan kesalahan deployment container. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop mengalami ghosting,Pengguna melaporkan layar laptop mengalami ghosting. Diperlukan investigasi lebih lanjut.
